time,prcp,level,inflow,outflow,predict
2024/7/24 14:00,0.83,150.78,32.6,541.0,43.7
2024/7/24 17:00,5.25,150.71,29.6,481.4,43.7
2024/7/24 20:00,5.43,150.62,110.3,562.3,35.4
2024/7/24 23:00,1.7,150.55,168.1,563.4,88.5
2024/7/25 2:00,2.06,150.48,168.2,563.6,148.2
2024/7/25 5:00,3.43,150.41,42.9,438.2,169.5
2024/7/25 8:00,6.79,150.34,153.6,549.1,140.1
2024/7/25 11:00,2.26,150.34,212.2,212.2,164.8
2024/7/25 14:00,4.57,150.32,196.9,309.8,181.4
2024/7/25 17:00,15.76,150.3,91.7,374.1,188.5
2024/7/25 20:00,8.61,150.32,671.9,333.0,182.1
2024/7/25 23:00,5.99,150.38,468.2,185.7,337.3
2024/7/26 2:00,13.98,150.43,407.1,124.7,386.1
2024/7/26 5:00,9.54,150.51,622.9,114.5,460.6
2024/7/26 8:00,7.62,150.59,452.3,57.0,412.284
2024/7/26 11:00,9.63,150.65,433.7,151.3,487.785
2024/7/26 14:00,9.08,150.77,738.3,60.5,412.068
2024/7/26 17:00,8.43,150.98,1246.7,4.0,696.696
2024/7/26 20:00,4.77,151.19,1204.9,4.0,1144.35
2024/7/26 23:00,3.11,151.37,1034.5,4.0,982.982
2024/7/27 2:00,3.5,151.53,920.2,4.0,850.724
2024/7/27 5:00,1.76,151.67,805.6,4.0,814.215
2024/7/27 8:00,0.28,151.76,531.7,16.4,747.3
2024/7/27 11:00,1.05,151.86,612.6,40.0,560.8
2024/7/27 14:00,1.37,151.87,285.1,227.9,558.4
2024/7/27 17:00,0.79,151.88,416.0,358.7,395.1
2024/7/27 20:00,,151.88,368.2,368.2,333.8
2024/7/27 23:00,,151.87,310.9,368.2,305.6
2024/7/28 2:00,,151.88,250.2,192.9,299.4
2024/7/28 5:00,,151.93,290.2,4.0,251.5
2024/7/28 8:00,,151.96,175.8,4.0,211.8
